id,category,severity,urgency,expected_action,english,hindi,odia,sambalpuri,santali,english_keywords,hindi_keywords,odia_keywords,sambalpuri_keywords,santali_keywords,notes
ILRC_001,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I am in immediate danger.,मैं तुरंत खतरे में हूँ।,ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।,Mu ebe khatara bipad re achhe.,Ing turat khatra re menakana.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_002,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,Please I am in immediate danger Please help.,कृपया मैं तुरंत खतरे में हूँ।। कृपया मदद करें।,ଦୟାକରି ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ଦୟାକରି ସାହାଯ୍ୟ କରନ୍ତୁ।,Daya kari Mu ebe khatara bipad re achhe mor sahajya kara.,Daya kate Ing turat khatra re menakana banchaoing pe.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_003,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"Right now, I am in immediate danger I am scared.","अभी, मैं तुरंत खतरे में हूँ।। मैं डरा/डरी हूँ।","ଏବେ, ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ମୁଁ ଭୟଭୀତ।","Ebe, Mu ebe khatara bipad re achhe mor darr laguchhe.","Nita ge, Ing turat khatra re menakana botor ge aikawkana.",danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_004,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I need help because I am in immediate danger I need help.,मुझे मदद चाहिए क्योंकि मैं तुरंत खतरे में हूँ।। मुझे मदद चाहिए।,ମୋତେ ସାହାଯ୍ୟ ଦରକାର କାରଣ ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ମୋତେ ସାହାଯ୍ୟ ଦରକାର।,Mote sahajya darkar kanje Mu ebe khatara bipad re achhe mote sahajya darkar.,Masing darkar kanje Ing turat khatra re menakana banchaoing pe.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_005,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"Please understand, I am in immediate danger This is urgent.","कृपया समझिए, मैं तुरंत खतरे में हूँ।। यह जरूरी है।","ଦୟାକରି ବୁଝନ୍ତୁ, ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ଏହା ଜରୁରୀ।","Bujha mor katha, Mu ebe khatara bipad re achhe eha jaruri aichhe.","Bujhau me, Ing turat khatra re menakana aadi jaruri kana.",danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_006,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I am scared: I am in immediate danger Please stay with me.,मैं डरा/डरी हूँ: मैं तुरंत खतरे में हूँ।। कृपया मेरे साथ रहें।,ମୁଁ ଭୟଭୀତ: ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ଦୟାକରି ମୋ ସହିତ ରୁହନ୍ତୁ।,Mor darr laguchhe: Mu ebe khatara bipad re achhe mor sanghe thia hua.,Botor aikawkana: Ing turat khatra re menakana ing sang te tahenpe.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_007,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,This is urgent: I am in immediate danger I cannot handle this alone.,यह जरूरी है: मैं तुरंत खतरे में हूँ।। मैं इसे अकेले नहीं संभाल सकता/सकती।,ଏହା ଜରୁରୀ: ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ମୁଁ ଏହାକୁ ଏକାକୀ ସମ୍ଭାଳିପାରୁନାହିଁ।,Jaruri aichhe: Mu ebe khatara bipad re achhe mu eka sambhali nai pare.,Jaruri kana: Ing turat khatra re menakana ing eskar bang sambhrao dadeakana.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_008,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,Please act now: I am in immediate danger Please do not ignore me.,कृपया अभी कार्रवाई करें: मैं तुरंत खतरे में हूँ।। कृपया मुझे अनदेखा न करें।,ଦୟାକରି ଏବେ କାର୍ଯ୍ୟ କରନ୍ତୁ: ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ଦୟାକରି ମୋତେ ଅଣଦେଖା କରନ୍ତୁ ନାହିଁ।,Ebe turant katha suna: Mu ebe khatara bipad re achhe mote anadekha nai kara.,Nita ge kami pe: Ing turat khatra re menakana aalo pe bageana.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_009,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I need immediate help: I am in immediate danger I need someone to help.,मुझे तुरंत मदद चाहिए: मैं तुरंत खतरे में हूँ।। मुझे किसी की मदद चाहिए।,ମୋତେ ତୁରନ୍ତ ସାହାଯ୍ୟ ଦରକାର: ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ମୋତେ କାହାରୋ ସାହାଯ୍ୟ ଦରକାର।,Turant sahajya darkar: Mu ebe khatara bipad re achhe kahari madat pathao.,Turat banchao darkar: Ing turat khatra re menakana jahay hohoako pe.,danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_010,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"For my safety, I am in immediate danger Please take this seriously.","मेरी सुरक्षा के लिए, मैं तुरंत खतरे में हूँ।। कृपया इसे गंभीरता से लें।","ମୋ ସୁରକ୍ଷା ପାଇଁ, ମୁଁ ତୁରନ୍ତ ବିପଦରେ ଅଛି।। ଦୟାକରି ଏହାକୁ ଗମ୍ଭୀରତାର ସହ ନିଅନ୍ତୁ।","Mor surakshya lagi, Mu ebe khatara bipad re achhe eha ke gambhira hisabe nia.","Ingak suraksha lagi, Ing turat khatra re menakana aadi jaruri kana.",danger,danger,ବିପଦ,"bipad, khatara","khatra, bipod",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
ILRC_011,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,They are chasing to kill me and I am hiding in the jungle.,वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।,ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।,"Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe.","Gojing lagid ko panjayedina, bir re ukanakana.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana",Multilingual emergency phrase including native Sambalpuri (Kosli) and Santali dialect variations.
